2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/42 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/42/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1686
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1743
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/47 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/47 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/47/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1664
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1721
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/52 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/52 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/52/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1664
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1721
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/57 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/57 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/57/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1651
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1708
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/62 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/62 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/62/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1520
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/65 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/65 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/65/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1527
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1744
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 2000
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/70 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/70 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/70/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1706
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1769
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/75 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/75 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/75/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1730
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1826
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/80 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/80 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/80/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1596
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1680
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1737
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/85 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/85 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/85/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1514
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/88 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/88 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/88/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1527
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1804
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 2039
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/93 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/93 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/93/commit HTTP/1.1" 200 26
